Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
詶,0,0,2,0,0,4,0,6,6
曅,0,0,1,0,0,4,0,5,5
羛,0,0,2,0,0,2,0,4,4
尗,0,0,1,0,0,0,0,1,1
雇,0,0,10,1,13,171,8,203,203
𠭇,0,0,1,0,0,0,0,1,1
睏,0,0,11,4,1,11,1,28,28
讁,0,0,4,0,0,0,0,4,4
愞,0,0,1,0,1,9,0,11,11
皖,0,0,3,32,8,3,11,57,57
廵,0,0,1,0,0,0,0,1,1
坂,0,0,7,6,0,0,1,14,14
0,0,0,8,0,1,5,2,16,16
昇,0,0,14,10,42,175,102,343,343
儆,0,0,11,1,18,52,42,124,124
〕,0,0,1,21,0,0,0,22,22
飆,0,0,2,0,1,48,41,92,92
貺,0,0,9,1,27,100,14,151,151
幷,0,0,59,1,0,199,1,260,260
鑾,0,0,6,3,92,84,170,355,355
絇,0,0,5,0,0,7,3,15,15
盥,0,0,7,1,11,109,43,171,171
踧,0,0,6,7,2,6,0,21,21
踖,0,0,2,2,1,2,0,7,7
輭,0,0,1,0,0,0,0,1,1
哽,0,0,3,1,5,5,4,18,18
噎,0,0,3,1,1,5,3,13,13
耋,0,0,2,0,5,4,2,13,13
蝥,0,0,2,0,0,0,0,2,2
炟,0,0,2,0,0,3,2,7,7
礿,0,0,1,2,4,3,0,10,10
漅,0,0,1,0,0,1,0,2,2
汴,0,0,10,3,563,582,163,1321,1321
漭,0,0,3,0,0,0,0,3,3
懋,0,0,5,0,20,59,479,563,563
閥,0,0,4,0,8,19,9,40,40
籞,0,0,3,0,1,5,0,9,9
沲,0,0,1,1,2,0,8,12,12
漊,0,0,8,2,0,6,4,20,20
昞,0,0,6,0,2,11,0,19,19
忉,0,0,2,0,1,0,0,3,3
誌,0,0,55,4,430,176,624,1289,1289
罇,0,0,1,0,0,0,0,1,1
飠,0,0,1,0,0,2,1,4,4
跱,0,0,5,7,0,0,0,12,12
妊,0,0,6,0,0,2,9,17,17
晃,0,0,29,80,20,24,4,157,157
壠,0,0,1,0,0,3,4,8,8
鬵,0,0,1,0,0,1,0,2,2
蔬,0,0,16,6,19,68,71,180,180
貗,0,0,1,0,0,0,0,1,1
蕊,0,0,1,0,1,20,5,27,27
岯,0,0,1,0,1,6,0,8,8
慬,0,0,40,0,0,2,1,43,43
噉,0,0,3,0,1,1,0,5,5
逴,0,0,3,2,0,6,0,11,11
秕,0,0,4,0,1,1,3,9,9
倀,0,0,12,0,0,4,2,18,18
箋,0,0,8,17,23,65,75,188,188
逵,0,0,62,64,67,286,135,614,614
塢,0,0,26,15,3,12,16,72,72
琚,0,0,1,0,56,41,11,109,109
蒜,0,0,20,1,3,1,2,27,27
纘,0,0,7,0,51,27,87,172,172
徴,0,0,2,0,6,1,0,9,9
停,0,0,14,20,378,250,525,1187,1187
熲,0,0,117,1,5,1,7,131,131
悺,0,0,21,0,1,2,0,24,24
敍,0,0,6,0,0,2,3,11,11
瑨,0,0,3,0,9,11,0,23,23
禧,0,0,13,0,16,729,62,820,820
滸,0,0,7,2,3,37,29,78,78
豔,0,0,4,2,7,8,6,27,27
,0,0,4,0,0,0,0,4,4
罼,0,0,1,0,0,7,0,8,8
估,0,0,1,0,63,161,34,259,259
珢,0,0,1,0,0,7,0,8,8
琮,0,0,31,98,127,143,135,534,534
郗,0,0,11,2,17,2,4,36,36
瓌,0,0,2,1,22,46,0,71,71
叡,0,0,4,6,2,11,6,29,29
傕,0,0,129,48,0,2,0,179,179
暹,0,0,27,23,63,18,200,331,331
穭,0,0,1,0,2,0,0,3,3
煨,0,0,11,7,8,8,2,36,36
贇,0,0,2,0,6,151,3,162,162
,0,0,1,0,0,0,0,1,1
璋,0,0,42,187,97,111,108,545,545
頒,0,0,3,2,129,362,320,816,816
帟,0,0,1,0,4,23,1,29,29
絏,0,0,1,0,2,2,1,6,6
輈,0,0,13,0,4,10,1,28,28
,0,0,1,0,0,0,0,1,1
嬿,0,0,2,0,0,0,0,2,2
奩,0,0,1,0,5,17,6,29,29
慌,0,0,3,2,0,0,2,7,7
惚,0,0,2,4,4,13,2,25,25
諮,0,0,10,27,40,188,33,298,298
裙,0,0,3,1,48,48,33,133,133
褠,0,0,1,0,0,2,0,3,3
瞑,0,0,4,2,9,22,21,58,58
惵,0,0,4,0,0,2,0,6,6
嫕,0,0,6,0,0,1,0,7,7
咶,0,0,1,0,0,0,0,1,1
姝,0,0,2,0,1,3,2,8,8
讌,0,0,4,2,0,6,0,12,12
袿,0,0,2,0,0,0,1,3,3
紙,0,0,6,9,74,199,83,371,371
釦,0,0,1,0,0,12,0,13,13
謥,0,0,1,1,0,0,0,2,2
詷,0,0,1,2,0,3,0,6,6
儺,0,0,5,0,4,4,0,13,13
侲,0,0,4,0,3,3,0,10,10
鴉,0,0,1,0,1,7,24,33,33
邂,0,0,3,3,3,7,0,16,16
逅,0,0,3,3,3,9,5,23,23
妠,0,0,1,0,0,0,0,1,1
倘,0,0,3,2,64,47,101,217,217
叨,0,0,10,1,39,11,12,73,73
邙,0,0,1,0,26,2,5,34,34
諝,0,0,19,6,7,13,5,50,50
彥,0,0,25,19,542,2043,588,3217,3217
棱,0,0,18,0,50,13,5,86,86
蓩,0,0,2,0,0,0,0,2,2
撝,0,0,9,1,0,5,3,18,18
菔,0,0,1,0,0,0,3,4,4
餚,0,0,8,1,3,7,17,36,36
殮,0,0,3,0,10,9,51,73,73
邀,0,0,5,18,158,315,319,815,815
錚,0,0,2,0,0,2,9,13,13
恇,0,0,4,1,1,4,18,28,28
膂,0,0,7,11,27,30,21,96,96
媽,0,0,1,0,0,0,1,2,2
瓷,0,0,1,0,2,10,27,40,40
摘,0,0,2,3,16,48,94,163,163
躑,0,0,4,0,2,2,1,9,9
蚓,0,0,1,0,1,6,2,10,10
叵,0,0,3,1,0,16,25,45,45
氵,0,0,5,2,20,24,86,137,137
厶,0,0,1,0,0,0,0,1,1
層,0,0,2,1,25,61,53,142,142
怕,0,0,1,0,2,1,41,45,45
拋,0,0,1,0,12,14,6,33,33
閈,0,0,2,0,0,5,9,16,16
療,0,0,20,4,40,57,39,160,160
猖,0,0,1,1,9,36,46,93,93
,0,0,11,0,0,1,0,12,12
,0,0,2,0,0,0,0,2,2
梵,0,0,20,1,10,16,7,54,54
輾,0,0,1,0,2,4,10,17,17
艷,0,0,6,26,10,2,16,60,60
,0,0,2,0,0,0,0,2,2
褫,0,0,2,0,0,40,110,152,152
箄,0,0,4,1,2,1,0,8,8
吼,0,0,2,0,5,2,9,18,18
餞,0,0,3,4,40,55,24,126,126
賫,0,0,13,0,98,8,188,307,307
龕,0,0,2,0,11,44,11,68,68
櫬,0,0,2,8,5,11,28,54,54
扺,0,0,4,0,0,0,0,4,4
錠,0,0,1,0,0,6,76,83,83
憝,0,0,3,0,3,3,11,20,20
綝,0,0,12,103,9,5,0,129,129
歧,0,0,3,0,9,9,0,21,21
忸,0,0,3,0,0,0,0,3,3
襯,0,0,1,0,2,12,18,33,33
訁,0,0,3,0,2,6,12,23,23
枋,0,0,1,0,1,46,21,69,69
艘,0,0,3,4,18,85,146,256,256
棹,0,0,6,0,4,57,3,70,70
蟊,0,0,2,0,9,2,1,14,14
,0,0,2,0,3,2,2,9,9
攵,0,0,1,0,7,3,4,15,15
搗,0,0,2,1,4,90,196,293,293
抄,0,0,55,2,57,58,49,221,221
鑕,0,0,6,0,0,24,2,32,32
帽,0,0,4,3,29,86,103,225,225
戩,0,0,7,2,6,121,9,145,145
絶,0,0,17,4,9,1,0,31,31
鎭,0,0,1,0,0,0,0,1,1
懅,0,0,2,0,0,1,0,3,3
澌,0,0,1,0,1,6,6,14,14
﹑,0,0,376,2,0,0,0,378,378
腢,0,0,143,0,0,0,0,143,143
狽,0,0,6,2,25,17,8,58,58
癭,0,0,4,2,3,1,2,12,12
扉,0,0,4,0,10,17,24,55,55
賚,0,0,6,0,50,126,422,604,604
註,0,0,11,5,252,59,169,496,496
㶏,0,0,2,1,0,6,1,10,10
驎,0,0,1,0,1,5,0,7,7
孌,0,0,2,0,0,0,1,3,3
儷,0,0,3,1,4,30,13,51,51
翻,0,0,6,61,100,46,44,257,257
厙,0,0,3,0,1,0,0,4,4
屙,0,0,1,0,11,2,2,16,16
迮,0,0,2,1,0,5,3,11,11
皺,0,0,1,0,0,0,0,1,1
鱷,0,0,1,0,10,3,2,16,16
碑,0,0,37,5,167,154,93,456,456
笳,0,0,2,1,5,43,1,52,52
輊,0,0,1,1,0,6,3,11,11
槽,0,0,1,0,10,37,9,57,57
腇,0,0,1,0,0,0,1,2,2
叉,0,0,3,2,0,47,19,71,71
瘴,0,0,5,2,25,66,63,161,161
䩭,0,0,1,0,0,0,0,1,1
唇,0,0,4,4,1,18,9,36,36
䙰,0,0,1,0,0,0,0,1,1
薏,0,0,3,0,3,3,1,10,10
苡,0,0,3,0,5,1,1,10,10
醲,0,0,1,0,3,1,1,6,6
囑,0,0,1,1,12,11,45,70,70
傯,0,0,2,0,0,3,3,8,8
綖,0,0,2,0,2,24,4,32,32
謇,0,0,17,8,35,12,12,84,84
髫,0,0,4,0,6,1,1,12,12
慜,0,0,1,0,0,7,0,8,8
癒,0,0,3,1,0,4,2,10,10
鮭,0,0,1,0,1,0,0,2,2
煉,0,0,1,0,25,54,75,155,155
懶,0,0,2,0,2,24,3,31,31
謅,0,0,2,0,2,3,1,8,8
拏,0,0,1,0,3,4,5,13,13
啻,0,0,1,0,6,34,19,60,60
喢,0,0,3,0,0,0,0,3,3
紓,0,0,6,0,31,80,24,141,141
齡,0,0,2,0,407,174,199,782,782
唁,0,0,1,0,1,5,2,9,9
,0,0,1,0,0,0,0,1,1
戔,0,0,1,0,2,5,1,9,9
汍,0,0,1,0,0,1,1,3,3
瀾,0,0,1,0,9,21,67,98,98
惆,0,0,4,1,3,2,0,10,10
憶,0,0,4,0,13,17,10,44,44
悇,0,0,1,0,0,0,0,1,1
憛,0,0,1,0,0,0,0,1,1
湨,0,0,1,0,0,0,0,1,1
曀,0,0,2,0,3,12,2,19,19
愖,0,0,1,0,0,3,0,4,4
埳,0,0,4,0,0,2,0,6,6
壈,0,0,1,0,3,2,0,6,6
脹,0,0,2,0,1,1,2,6,6
蜘,0,0,1,2,0,0,1,4,4
躕,0,0,2,0,1,0,0,3,3
帙,0,0,1,0,10,14,10,35,35
顗,0,0,18,5,25,37,0,85,85
皰,0,0,1,0,0,0,0,1,1
霾,0,0,1,0,2,24,52,79,79
趁,0,0,1,0,1,17,2,21,21
訶,0,0,1,0,33,33,25,92,92
,0,0,1,0,0,0,0,1,1
汰,0,0,2,6,13,120,171,312,312
餳,0,0,1,0,1,3,2,7,7
皤,0,0,4,0,1,1,2,8,8
鯛,0,0,1,0,0,0,0,1,1
歉,0,0,1,0,13,63,29,106,106
呆,0,0,1,0,0,4,4,9,9
忄,0,0,1,0,15,12,25,53,53
諳,0,0,2,0,26,46,45,119,119
篣,0,0,4,0,1,0,0,5,5
竣,0,0,1,0,4,20,160,185,185
厘,0,0,7,1,54,137,54,253,253
妝,0,0,1,1,8,6,12,28,28
拷,0,0,1,0,8,2,88,99,99
窗,0,0,2,1,8,33,17,61,61
蹬,0,0,1,0,0,4,3,8,8
肓,0,0,3,0,11,8,4,26,26
針,0,0,18,15,36,37,48,154,154
萍,0,0,2,0,6,8,6,22,22
焭,0,0,1,0,0,0,2,3,3
嘏,0,0,2,36,22,50,1,111,111
侷,0,0,2,0,0,0,0,2,2
氈,0,0,5,2,22,153,38,220,220
鸑,0,0,1,0,6,1,1,9,9
騘,0,0,2,0,0,0,0,2,2
褞,0,0,1,0,0,0,0,1,1
羙,0,0,1,1,0,0,0,2,2
濆,0,0,3,3,28,7,4,45,45
週,0,0,8,5,17,35,37,102,102
窆,0,0,3,0,5,7,2,17,17
翣,0,0,1,0,2,16,3,22,22
窀,0,0,3,0,4,2,1,10,10
穸,0,0,2,0,6,2,1,11,11
詒,0,0,2,0,0,38,2,42,42
悶,0,0,2,0,10,6,9,27,27
隍,0,0,1,0,22,40,62,125,125
鶯,0,0,15,0,1,3,12,31,31
睎,0,0,1,0,0,0,0,1,1
睋,0,0,1,0,0,0,0,1,1
廛,0,0,1,0,5,13,12,31,31
隈,0,0,1,1,0,2,3,7,7
埸,0,0,2,6,5,19,6,38,38
塍,0,0,1,0,2,5,4,12,12
櫫,0,0,4,0,0,1,0,5,5
瑱,0,0,1,0,105,17,8,131,131
爓,0,0,2,0,0,9,0,11,11
裛,0,0,1,0,2,2,1,6,6
磩,0,0,1,0,0,1,0,2,2
墱,0,0,1,0,0,3,7,11,11
墉,0,0,2,5,29,16,19,71,71
柧,0,0,1,0,0,1,1,3,3
枍,0,0,1,0,0,0,0,1,1
楣,0,0,1,0,4,3,1,9,9
欞,0,0,1,0,1,4,2,8,8
窱,0,0,1,0,0,0,0,1,1
嶈,0,0,2,0,0,0,0,2,2
蹸,0,0,1,0,0,1,0,2,2
拗,0,0,1,0,2,2,5,10,10
鍭,0,0,3,0,0,2,2,7,7
颮,0,0,5,0,0,0,0,5,5
譸,0,0,3,0,0,4,0,7,7
巉,0,0,1,0,0,8,7,16,16
鸛,0,0,1,0,1,4,5,11,11
鴰,0,0,2,0,0,0,0,2,2
輚,0,0,1,0,0,0,0,1,1
謍,0,0,1,0,0,2,0,3,3
驖,0,0,1,0,0,0,0,1,1
踠,0,0,2,0,0,1,0,3,3
漘,0,0,1,0,0,4,0,5,5
仱,0,0,1,0,0,3,0,4,4
熅,0,0,4,0,2,9,4,19,19
燦,0,0,1,1,5,14,204,225,225
舖,0,0,3,0,0,0,1,4,4
葸,0,0,1,0,0,5,0,6,6
拽,0,0,1,0,3,22,3,29,29
悚,0,0,3,5,30,54,20,112,112
杫,0,0,1,0,0,5,2,8,8
癢,0,0,1,3,0,2,2,8,8
婪,0,0,4,0,6,8,11,29,29
苫,0,0,1,3,7,11,9,31,31
妓,0,0,1,1,58,46,27,133,133
劒,0,0,7,8,1,1,0,17,17
忡,0,0,2,1,2,2,2,9,9
湼,0,0,1,0,0,0,0,1,1
檷,0,0,1,0,0,0,0,1,1
紒,0,0,3,3,0,1,3,10,10
罐,0,0,1,0,0,2,19,22,22
豶,0,0,1,0,0,0,0,1,1
搒,0,0,2,0,15,5,36,58,58
璵,0,0,3,2,27,12,17,61,61
璠,0,0,4,4,72,33,11,124,124
腔,0,0,2,0,0,2,1,5,5
嘲,0,0,7,5,14,12,5,43,43
鈽,0,0,4,0,0,0,2,6,6
塘,0,0,3,8,31,386,349,777,777
坡,0,0,3,0,16,54,85,158,158
褥,0,0,3,1,17,108,53,182,182
俔,0,0,1,0,0,12,1,14,14
駰,0,0,30,1,3,5,0,39,39
颱,0,0,1,0,0,0,0,1,1
禒,0,0,1,0,0,2,0,3,3
惷,0,0,2,0,0,4,0,6,6
幙,0,0,2,0,0,0,1,3,3
晊,0,0,15,0,5,7,0,27,27
蹐,0,0,6,1,0,0,6,13,13
莪,0,0,2,1,1,1,1,6,6
罊,0,0,1,0,0,0,0,1,1
㢮,0,0,1,0,0,0,0,1,1
汔,0,0,1,0,1,1,1,4,4
寃,0,0,1,0,3,7,0,11,11
〉,0,0,10,31,0,0,2,43,43
緻,0,0,4,0,3,12,3,22,22
·,0,0,10,0,50,64,67,191,191
璞,0,0,6,2,16,44,73,141,141
䌌,0,0,1,0,0,1,0,2,2
㻛,0,0,2,0,0,0,0,2,2
璩,0,0,1,7,15,35,3,61,61
欄,0,0,2,1,14,35,23,75,75
魍,0,0,1,2,2,0,2,7,7
繨,0,0,1,0,0,0,0,1,1
紩,0,0,1,0,0,1,0,2,2
琶,0,0,2,0,38,46,16,102,102
楸,0,0,1,0,3,4,4,12,12
檽,0,0,3,0,0,0,2,5,5
樟,0,0,3,1,1,12,22,39,39
陞,0,0,3,0,0,47,29,79,79
稂,0,0,1,1,2,1,2,7,7
睥,0,0,1,0,5,23,6,35,35
殼,0,0,2,0,4,9,2,17,17
柂,0,0,1,0,0,5,0,6,6
彧,0,0,62,112,10,13,27,224,224
牴,0,0,5,0,6,33,26,70,70
澶,0,0,4,0,32,495,7,538,538
儘,0,0,1,2,2,4,2,11,11
泬,0,0,1,1,3,2,1,8,8
靦,0,0,1,1,5,1,1,9,9
橡,0,0,1,0,1,7,0,9,9
幻,0,0,3,0,8,9,13,33,33
鑰,0,0,1,0,21,94,48,164,164
鞻,0,0,1,0,1,2,0,4,4
韎,0,0,3,0,4,1,6,14,14
塉,0,0,1,0,0,0,3,4,4
緬,0,0,1,3,17,10,373,404,404
稨,0,0,2,0,0,0,0,2,2
矱,0,0,1,0,7,0,8,16,16
漼,0,0,1,0,18,6,0,25,25
峗,0,0,2,0,0,6,0,8,8
躐,0,0,1,0,0,37,17,55,55
摟,0,0,1,0,0,0,1,2,2
忙,0,0,1,0,5,5,7,18,18
怢,0,0,1,0,0,0,0,1,1
|,0,0,1,0,0,0,0,1,1
綀,0,0,1,0,1,0,0,2,2
檛,0,0,1,1,0,1,0,3,3
鋃,0,0,1,0,0,0,6,7,7
鬌,0,0,1,0,0,0,0,1,1
縪,0,0,1,0,0,4,0,5,5
惘,0,0,3,0,3,0,1,7,7
玼,0,0,4,0,20,1,0,25,25
曇,0,0,6,3,34,12,3,58,58
韜,0,0,4,6,53,89,202,354,354
琛,0,0,3,1,61,40,93,198,198
迤,0,0,4,0,2,19,97,122,122
蝃,0,0,1,0,0,0,0,1,1
蝀,0,0,1,0,0,0,0,1,1
毿,0,0,1,0,0,2,0,3,3
慺,0,0,2,18,0,2,0,22,22
醋,0,0,8,0,3,16,11,38,38
緌,0,0,1,0,0,13,0,14,14
肋,0,0,3,0,4,23,2,32,32
菆,0,0,3,0,0,9,0,12,12
滘,0,0,1,0,0,0,0,1,1
殂,0,0,3,9,21,39,4,76,76
撾,0,0,4,8,13,22,69,116,116
祔,0,0,2,1,197,406,186,792,792
瑀,0,0,16,11,153,115,17,312,312
蛆,0,0,3,0,1,0,5,9,9
鍥,0,0,1,0,1,4,5,11,11
覘,0,0,5,5,27,83,74,194,194
戫,0,0,2,0,0,4,0,6,6
悾,0,0,2,0,0,2,0,4,4
秪,0,0,1,1,0,0,0,2,2
鑈,0,0,8,0,0,4,0,12,12
伷,0,0,5,14,19,12,0,50,50
蹣,0,0,3,0,0,0,0,3,3
袓,0,0,1,0,0,0,0,1,1
幔,0,0,4,5,3,11,23,46,46
鐐,0,0,3,0,6,4,6,19,19
婞,0,0,2,0,0,2,0,4,4
伙,0,0,1,0,0,0,1,2,2
朣,0,0,1,0,0,3,0,4,4
朦,0,0,1,1,0,4,11,17,17
縋,0,0,4,0,7,55,37,103,103
柝,0,0,1,1,6,6,2,16,16
魃,0,0,2,1,0,4,2,9,9
溽,0,0,1,0,1,2,2,6,6
冱,0,0,2,0,4,3,4,13,13
劑,0,0,2,1,5,34,42,84,84
泙,0,0,1,0,0,3,3,7,7
蟾,0,0,2,0,8,16,9,35,35
蜍,0,0,2,0,0,3,0,5,5
團,0,0,2,0,223,1096,192,1513,1513
蘺,0,0,1,0,0,0,0,1,1
姱,0,0,1,0,0,0,0,1,1
遻,0,0,1,0,0,2,0,3,3
跟,0,0,1,0,0,0,2,3,3
航,0,0,2,1,11,38,45,97,97
辮,0,0,2,0,12,4,0,18,18
鞶,0,0,2,0,18,9,2,31,31
珩,0,0,5,5,3,13,31,57,57
瞥,0,0,3,0,0,0,0,3,3
翾,0,0,1,0,9,0,4,14,14
鰲,0,0,1,0,2,1,96,100,100
抃,0,0,1,2,26,219,48,296,296
憩,0,0,1,0,13,15,9,38,38
顝,0,0,1,0,0,0,0,1,1
欻,0,0,2,2,1,0,0,5,5
佇,0,0,2,1,26,29,2,60,60
呬,0,0,1,0,0,0,0,1,1
蓁,0,0,2,0,0,6,2,10,10
涬,0,0,1,0,0,4,0,5,5
忱,0,0,1,0,8,60,114,183,183
禠,0,0,1,0,0,2,0,3,3
岫,0,0,1,0,12,3,3,19,19
碄,0,0,2,0,0,0,0,2,2
婧,0,0,1,0,0,0,0,1,1
簹,0,0,1,0,2,1,3,7,7
縭,0,0,1,0,0,1,0,2,2
蘤,0,0,1,0,1,5,0,7,7
繠,0,0,1,0,0,0,0,1,1
迓,0,0,1,0,5,48,27,81,81
軯,0,0,1,0,0,0,0,1,1
涷,0,0,1,0,0,6,5,12,12
葩,0,0,2,1,3,3,6,15,15
森,0,0,1,0,6,31,70,108,108
譻,0,0,2,0,0,1,0,3,3
遹,0,0,1,0,9,80,2,92,92
飂,0,0,1,0,0,0,0,1,1
糝,0,0,2,0,0,3,4,9,9
澒,0,0,1,0,0,4,1,6,6
霏,0,0,2,0,3,0,1,6,6
眃,0,0,1,0,0,0,0,1,1
諆,0,0,1,0,0,5,10,16,16
蒩,0,0,1,0,0,0,0,1,1
荋,0,0,1,0,0,0,0,1,1
荁,0,0,1,0,0,0,1,2,2
椿,0,0,1,0,4,106,35,146,146
櫃,0,0,1,0,7,8,28,44,44
槮,0,0,1,0,0,9,0,10,10
蓶,0,0,1,0,0,0,0,1,1
蘳,0,0,1,0,0,0,0,1,1
揫,0,0,1,0,0,2,0,3,3
罦,0,0,1,0,0,1,0,2,2
羉,0,0,1,0,0,0,0,1,1
串,0,0,1,0,1,2,8,12,12
驌,0,0,3,0,0,7,1,11,11
髟,0,0,1,0,0,1,0,2,2
鼬,0,0,1,1,0,0,0,2,2
扦,0,0,1,2,0,0,0,3,3
瓖,0,0,1,0,0,5,0,6,6
旝,0,0,1,0,0,0,0,1,1
摻,0,0,1,0,0,1,0,2,2
嫿,0,0,1,0,0,0,0,1,1
猑,0,0,1,0,0,0,0,1,1
殳,0,0,3,0,1,34,3,41,41
猭,0,0,1,0,0,0,0,1,1
躓,0,0,1,1,9,6,11,28,28
蟫,0,0,2,0,0,1,2,5,5
哨,0,0,1,0,0,8,158,167,167
刲,0,0,1,0,0,22,24,47,47
裎,0,0,1,0,0,0,1,2,2
槎,0,0,1,2,2,7,10,22,22
嶰,0,0,1,0,1,1,0,3,3
訬,0,0,1,0,1,0,0,2,2
趬,0,0,1,0,0,0,0,1,1
嶁,0,0,1,0,0,0,1,2,2
攳,0,0,1,0,0,0,0,1,1
縸,0,0,1,0,0,0,0,1,1
枷,0,0,1,0,23,10,39,73,73
渀,0,0,1,0,0,0,0,1,1
瀇,0,0,1,0,0,0,0,1,1
紾,0,0,1,0,0,0,2,3,3
簎,0,0,1,0,0,0,0,1,1
舼,0,0,1,0,1,0,0,2,2
帆,0,0,1,1,9,8,33,52,52
颸,0,0,1,0,0,1,0,2,2
鴦,0,0,1,7,0,1,25,34,34
鷗,0,0,1,0,5,1,0,7,7
鷿,0,0,1,0,0,0,0,1,1
鱮,0,0,1,0,0,0,0,1,1
釬,0,0,1,0,0,2,11,14,14
鰋,0,0,1,0,0,0,0,1,1
鱨,0,0,1,0,1,0,0,2,2
魦,0,0,1,0,0,0,0,1,1
擺,0,0,1,0,2,4,22,29,29
犒,0,0,1,3,25,216,96,341,341
笛,0,0,2,0,33,76,19,130,130
喈,0,0,5,1,3,4,0,13,13
勅,0,0,2,0,1,0,0,3,3
韙,0,0,13,5,3,39,26,86,86
慠,0,0,3,1,0,3,0,7,7
拆,0,0,1,0,23,71,22,117,117
絚,0,0,1,0,0,0,0,1,1
汦,0,0,2,0,0,1,6,9,9
綎,0,0,1,0,0,4,174,179,179
蓑,0,0,1,1,0,2,3,7,7
擐,0,0,3,3,10,27,17,60,60
𣊓,0,0,1,0,0,0,0,1,1
𠙽,0,0,1,0,0,0,0,1,1
熸,0,0,1,0,0,1,0,2,2
怩,0,0,1,0,0,1,0,2,2
疎,0,0,2,1,3,4,1,11,11
玹,0,0,6,6,0,2,5,19,19
憘,0,0,1,0,0,2,0,3,3
螳,0,0,4,0,1,1,3,9,9
蜋,0,0,4,0,0,0,0,4,4
扭,0,0,1,0,0,0,1,2,2
勰,0,0,8,0,3,29,0,40,40
邟,0,0,2,3,0,0,0,5,5
𢧵,0,0,3,0,0,0,0,3,3
模,0,0,3,25,54,86,42,210,210
戄,0,0,2,0,1,0,1,4,4
鍎,0,0,4,0,0,2,0,6,6
傢,0,0,1,0,0,0,3,4,4
簷,0,0,1,0,12,36,12,61,61
刵,0,0,1,0,0,1,0,2,2
櫛,0,0,3,1,16,24,24,68,68
梳,0,0,1,2,1,11,22,37,37
頏,0,0,1,1,2,13,5,22,22
嫠,0,0,2,0,5,12,5,24,24
簟,0,0,4,0,1,18,4,27,27
庵,0,0,2,0,3,21,75,101,101
蟞,0,0,1,0,0,0,0,1,1
霹,0,0,2,1,6,8,4,21,21
靂,0,0,2,1,5,10,4,22,22
拍,0,0,2,0,9,18,3,32,32
昶,0,0,1,34,25,180,80,320,320
剁,0,0,3,0,0,0,0,3,3
燼,0,0,1,3,28,19,32,83,83
柵,0,0,5,8,133,158,125,429,429
黛,0,0,1,2,3,3,2,11,11
嚬,0,0,1,0,0,1,6,8,8
悢,0,0,2,2,0,0,0,4,4
懍,0,0,4,0,7,7,2,20,20
馥,0,0,45,37,6,4,2,94,94
岵,0,0,1,0,13,5,1,20,20
蕕,0,0,1,0,3,7,1,12,12
飩,0,0,1,0,0,0,0,1,1
蛣,0,0,1,0,0,0,0,1,1
儳,0,0,1,0,0,1,1,3,3
嵐,0,0,3,0,45,126,24,198,198
擲,0,0,6,5,11,40,45,107,107
秊,0,0,1,0,0,0,0,1,1
寰,0,0,2,0,73,63,73,211,211
囓,0,0,1,1,0,0,0,2,2
棊,0,0,1,3,1,2,0,7,7
皜,0,0,2,0,0,1,0,3,3
斾,0,0,1,0,0,0,0,1,1
邅,0,0,1,0,3,10,3,17,17
呪,0,0,1,0,0,1,0,2,2
苣,0,0,1,0,1,8,0,10,10
鬭,0,0,2,1,0,0,0,3,3
犕,0,0,1,0,0,0,0,1,1
唒,0,0,1,0,0,0,0,1,1
馗,0,0,1,1,0,0,0,2,2
㨗,0,0,1,0,2,0,0,3,3
臍,0,0,1,0,7,16,5,29,29
曙,0,0,2,0,29,78,11,120,120
樍,0,0,1,0,0,0,0,1,1
掬,0,0,1,0,0,4,1,6,6
閺,0,0,2,1,1,0,0,4,4
曒,0,0,1,0,1,2,0,4,4
惏,0,0,1,0,0,0,0,1,1
揩,0,0,4,0,3,1,0,8,8
滀,0,0,1,0,0,1,0,2,2
摸,0,0,2,1,4,0,5,12,12
兀,0,0,1,0,1,261,171,434,434
䏰,0,0,1,1,0,0,0,2,2
​,0,0,6,22,0,24,40,92,92
簣,0,0,1,0,1,1,1,4,4
醖,0,0,2,0,48,0,1,51,51
瘼,0,0,3,1,6,14,13,37,37
墕,0,0,1,0,0,0,0,1,1
洄,0,0,1,0,51,9,7,68,68
芍,0,0,1,9,1,10,2,23,23
𢒰,0,0,1,0,0,0,0,1,1
榧,0,0,1,0,0,0,0,1,1
黌,0,0,2,0,0,8,3,13,13
鳲,0,0,1,0,0,0,0,1,1
穽,0,0,1,1,1,6,0,9,9
婭,0,0,1,0,4,6,9,20,20
䊸,0,0,13,0,0,0,0,13,13
墼,0,0,1,0,0,0,0,1,1
藁,0,0,1,0,1,16,16,34,34
爝,0,0,1,0,3,5,10,19,19
𦐇,0,0,1,0,0,0,0,1,1
嬙,0,0,2,3,4,8,2,19,19
錶,0,0,1,1,4,1,2,9,9
窪,0,0,3,1,0,7,24,35,35
觟,0,0,1,0,0,0,0,1,1
鯭,0,0,1,0,0,0,0,1,1
線,0,0,1,0,8,27,90,126,126
催,0,0,1,6,12,148,63,230,230
禀,0,0,1,0,0,0,0,1,1
帨,0,0,1,0,2,20,13,36,36
槪,0,0,2,0,0,0,0,2,2
覛,0,0,1,0,0,0,0,1,1
瀯,0,0,2,0,0,5,0,7,7
