Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
駭,18,30,25,13,163,177,129,555,555
瓜,13,13,15,2,79,131,154,407,407
錘,2,1,0,0,2,5,3,13,13
迂,11,9,6,5,13,76,42,162,162
誘,40,40,63,75,166,328,302,1014,1014
鏡,4,6,16,4,78,60,46,214,214
牡,14,36,9,5,3,38,24,129,129
乾,36,47,57,54,1074,1864,594,3726,3726
麟,17,37,36,4,260,479,417,1250,1250
燎,8,11,14,5,25,89,56,208,208
償,25,27,12,2,18,326,133,543,543
腹,62,41,64,45,160,231,191,794,794
掌,31,110,43,38,1011,1360,1273,3866,3866
湖,25,61,64,47,293,2179,2390,5059,5059
根,25,122,71,41,78,309,102,748,748
繭,4,6,7,1,6,35,12,71,71
圜,28,36,7,3,7,235,103,419,419
犢,12,21,46,8,36,91,38,252,252
瘞,4,16,9,1,81,128,82,321,321
脽,4,8,0,0,5,7,1,25,25
邈,6,3,38,85,59,174,6,371,371
媚,14,25,29,12,62,73,92,307,307
肝,22,11,14,9,38,47,31,172,172
觸,21,39,47,13,46,73,96,335,335
溢,30,74,54,28,101,484,319,1090,1090
般,11,21,33,2,24,118,20,229,229
僮,24,29,10,5,48,50,112,278,278
裝,17,18,28,10,49,210,105,437,437
捥,3,0,0,0,0,0,0,3,3
錦,7,24,24,19,173,408,1278,1933,1933
款,9,19,31,29,194,210,244,736,736
