Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, CHI2
冠,12,0.03,3057,0.03,59.2
別,30,0.09,4141,0.05,9993.08
射,18,0.05,4283,0.05,785.96
鄉,17,0.05,4512,0.05,571.77
食,91,0.26,8901,0.1,27856.97
正,67,0.19,23529,0.27,7978.76
交,12,0.03,5495,0.06,6176.97
接,10,0.03,1643,0.02,4084.79
則,52,0.15,22847,0.26,11948.23
亂,26,0.07,5897,0.07,1669.86
登,13,0.04,4755,0.05,3953.0
天,104,0.3,37265,0.42,10567.31
地,50,0.14,15153,0.17,3769.9
情,8,0.02,3069,0.03,3508.51
類,7,0.02,2863,0.03,3797.53
稱,47,0.14,8675,0.1,6456.22
終,12,0.03,5623,0.06,6424.77
始,30,0.09,9022,0.1,2793.39
象,7,0.02,3221,0.04,4756.93
親,35,0.1,9087,0.1,433.98
疏,5,0.01,7858,0.09,13878.22
幼,22,0.06,1612,0.02,18284.63
理,11,0.03,7300,0.08,9855.64
形,9,0.03,1545,0.02,3477.7
深,8,0.02,5362,0.06,8497.26
恐,13,0.04,3958,0.05,1970.61
齎,7,0.02,631,0.01,8437.56
季,11,0.03,2017,0.02,3187.64
魯,15,0.04,3077,0.04,2424.44
卜,7,0.02,1136,0.01,3516.33
名,66,0.19,15405,0.18,1969.95
『,11,0.03,3900,0.04,3324.5
』,10,0.03,3884,0.04,4041.52
社,5,0.01,2311,0.03,4051.08
室,20,0.06,4600,0.05,1278.97
輔,8,0.02,4576,0.05,7029.55
告,28,0.08,5549,0.06,3856.99
襄,9,0.03,3148,0.04,2884.83
亡,28,0.08,5615,0.06,3670.37
臣,79,0.23,33531,0.38,13789.94
妾,15,0.04,915,0.01,17650.83
熊,6,0.02,941,0.01,3509.6
當,43,0.12,14952,0.17,6193.61
成,68,0.2,17415,0.2,270.64
舉,22,0.06,12845,0.15,11973.47
勤,6,0.02,1834,0.02,1367.43
勞,7,0.02,2983,0.03,4130.18
嗣,46,0.13,5995,0.07,13585.02
楚,27,0.08,5479,0.06,3420.67
蠻,13,0.04,2752,0.03,1919.26
田,52,0.15,9180,0.1,7755.17
丹,8,0.02,3548,0.04,4763.05
夷,37,0.11,4003,0.05,15765.69
率,32,0.09,8255,0.09,307.34
服,39,0.11,8798,0.1,2145.32
加,31,0.09,12866,0.15,8245.47
位,33,0.1,10803,0.12,4385.11
尊,14,0.04,3855,0.04,927.25
耳,14,0.04,3780,0.04,709.09
壯,11,0.03,1642,0.02,5252.06
朱,17,0.05,2939,0.03,4692.34
囚,11,0.03,1682,0.02,5008.23
固,12,0.03,5096,0.06,5371.42
聽,14,0.04,5344,0.06,4585.27
督,23,0.07,8118,0.09,4743.54
遺,26,0.07,3848,0.04,8209.26
吾,21,0.06,6557,0.07,2849.58
言,64,0.18,35472,0.4,19106.56
空,13,0.04,2673,0.03,2231.78
私,22,0.06,4185,0.05,3992.35
然,25,0.07,13498,0.15,11508.27
進,46,0.13,21596,0.25,12630.73
留,36,0.1,7633,0.09,3166.47
獻,24,0.07,7105,0.08,2268.89
知,59,0.17,30313,0.35,16485.69
赦,10,0.03,2767,0.03,829.29
出,48,0.14,24735,0.28,14930.22
重,17,0.05,10597,0.12,11402.41
虛,7,0.02,2866,0.03,3805.99
棄,8,0.02,2738,0.03,2534.94
復,54,0.16,26965,0.31,15108.53
取,27,0.08,8109,0.09,2629.31
持,23,0.07,3800,0.04,6114.84
獨,30,0.09,4695,0.05,7884.85
歡,6,0.02,743,0.01,5296.44
竟,7,0.02,2520,0.03,2773.48
歸,44,0.13,13228,0.15,3377.4
朔,9,0.03,6284,0.07,9423.49
婦,130,0.37,2133,0.02,120816.69
腹,5,0.01,790,0.01,3153.4
奉,28,0.08,11154,0.13,7173.0
免,12,0.03,6048,0.07,7214.7
身,33,0.1,5514,0.06,7129.32
晉,23,0.07,5102,0.06,1886.72
霸,10,0.03,1230,0.01,6904.97
老,39,0.11,4657,0.05,14222.06
常,49,0.14,13590,0.15,1885.4
卒,61,0.18,16399,0.19,1381.03
政,17,0.05,15144,0.17,16440.3
月,128,0.37,56990,0.65,19247.06
弗,5,0.01,1416,0.02,740.51
飾,10,0.03,1385,0.02,5735.62
賈,6,0.02,2044,0.02,2161.16
塗,8,0.02,854,0.01,7451.55
方,42,0.12,15883,0.18,7763.24
客,21,0.06,3825,0.04,4496.62
邑,83,0.24,4075,0.05,49058.77
司,63,0.18,28797,0.33,14127.77
予,7,0.02,1976,0.02,850.8
孔,10,0.03,2857,0.03,1129.89
志,13,0.04,3900,0.04,1812.09
保,31,0.09,8061,0.09,434.07
河,53,0.15,22124,0.25,10915.72
號,31,0.09,5032,0.06,7397.64
里,37,0.11,8782,0.1,1172.17
漢,37,0.11,12239,0.14,4832.94
興,39,0.11,12067,0.14,3715.01
病,7,0.02,4112,0.05,6802.69
卿,51,0.15,10457,0.12,4482.09
臧,9,0.03,772,0.01,10067.39
兒,53,0.15,2124,0.02,45201.59
裏,5,0.01,1570,0.02,1427.59
仲,20,0.06,4191,0.05,2516.07
信,21,0.06,7258,0.08,4242.93
陵,41,0.12,8079,0.09,4777.2
勝,20,0.06,5252,0.06,478.92
愛,18,0.05,2521,0.03,7549.38
美,24,0.07,2821,0.03,11400.04
夢,8,0.02,1168,0.01,4670.92
懷,30,0.09,5089,0.06,6547.55
榮,10,0.03,2886,0.03,1224.81
主,76,0.22,15031,0.17,6410.75
賢,22,0.06,7826,0.09,4749.61
符,14,0.04,2871,0.03,2345.57
計,15,0.04,6439,0.07,6134.04
定,33,0.1,16642,0.19,11982.32
蓋,13,0.04,3651,0.04,1104.81
寵,18,0.05,2173,0.02,9514.25
據,14,0.04,3240,0.04,1001.24
山,63,0.18,20055,0.23,5397.84
李,79,0.23,14797,0.17,7982.17
昌,30,0.09,6961,0.08,1423.57
喜,9,0.03,2897,0.03,2137.74
豈,7,0.02,3973,0.05,6509.15
謂,23,0.07,12224,0.14,10797.06
聖,20,0.06,7626,0.09,5466.44
姦,7,0.02,1087,0.01,3870.69
劉,49,0.14,9627,0.11,5284.52
參,13,0.04,7549,0.09,9137.85
盡,41,0.12,7723,0.09,5639.69
沐,5,0.01,556,0.01,5597.55
除,16,0.05,8656,0.1,9229.55
郡,99,0.29,13553,0.15,18417.15
憲,6,0.02,3306,0.04,5793.39
列,8,0.02,4357,0.05,6584.91
附,16,0.05,3180,0.04,2880.86
賦,11,0.03,3166,0.04,1257.87
教,21,0.06,4750,0.05,1537.7
冀,6,0.02,1755,0.02,1046.41
闕,20,0.06,3808,0.04,3794.34
營,12,0.03,5701,0.06,6573.43
秦,23,0.07,7979,0.09,4494.42
流,33,0.1,9186,0.1,1609.29
菑,5,0.01,228,0.0,12695.5
萬,135,0.39,25019,0.28,10810.56
竊,6,0.02,1939,0.02,1774.37
度,51,0.15,18369,0.21,7503.51
待,11,0.03,4198,0.05,4062.09
遠,20,0.06,7068,0.08,4440.01
寡,23,0.07,1428,0.02,21545.69
雖,13,0.04,6989,0.08,8246.55
足,31,0.09,5854,0.07,4861.63
采,10,0.03,1511,0.02,4890.0
君,36,0.1,10708,0.12,2863.82
召,19,0.05,9382,0.11,8799.65
適,8,0.02,1841,0.02,804.2
拔,13,0.04,1935,0.02,5741.26
斯,13,0.04,2233,0.03,4173.35
川,28,0.08,6336,0.07,1769.13
守,71,0.2,19757,0.22,2353.3
尚,95,0.27,17446,0.2,9331.59
丞,23,0.07,8489,0.1,5389.89
盜,13,0.04,4042,0.05,2196.33
陳,34,0.1,12195,0.14,6051.07
擊,34,0.1,7816,0.09,1676.73
盧,11,0.03,1964,0.02,3452.69
綰,5,0.01,538,0.01,5833.72
羊,13,0.04,1428,0.02,9167.72
賀,10,0.03,2798,0.03,933.89
工,12,0.03,4623,0.05,4341.82
第,56,0.16,8243,0.09,12175.77
玄,14,0.04,3881,0.04,1001.92
顯,12,0.03,3365,0.04,1045.7
吏,51,0.15,13503,0.15,939.11
坐,24,0.07,7877,0.09,3776.79
官,96,0.28,42981,0.49,16823.9
宣,25,0.07,10660,0.12,7817.97
潁,7,0.02,1026,0.01,4337.52
治,17,0.05,10761,0.12,11610.41
道,69,0.2,21945,0.25,5627.03
獄,10,0.03,5696,0.06,7816.97
越,19,0.05,3720,0.04,3334.67
裝,6,0.02,432,0.0,9699.16
賣,10,0.03,823,0.01,11056.13
產,91,0.26,1583,0.02,97917.43
左,57,0.16,15250,0.17,1226.91
口,61,0.18,6368,0.07,21146.28
慶,30,0.09,6851,0.08,1682.45
殷,5,0.01,1357,0.02,458.02
來,41,0.12,13720,0.16,5309.97
馬,74,0.21,16954,0.19,2561.12
師,48,0.14,18603,0.21,8816.49
光,61,0.18,10990,0.13,7923.07
