Co-term,女,母,妻,婦,姊,妃,婢,姒,媼,嫗,嫂,姬,妾,尼,嬪,妹,乳母,夫人,女子,室女,少女,帝后,後母,玉女,王后,皇后,美人,美女,貴人,皇太后,王,子,公,侯,君,臣,兵,帝,士,父,孫,伯,皇,叔,辟,賓,男,昆,兒,宦,友,俠,翁,童,孽,舅,紳,官,卿,吏,師,兄,叟,婿,甥,儐,娣,哥,丈夫,世子,中尉,列侯,力士,勇士,匹夫,博士,叔父,史官,司寇,司徒,君子,大夫,大王,大理,大臣,天王,天皇,天子,太公,太后,太子,太守,子嗣,孝子,孽子,帝王,次子,武士,王子,男子,皇子,皇帝,秀才,童子,老父,兒子,伯父,士大夫,大丈夫,太史公,皇太子,Fem,Target,Total
Pinyin,f_nǚ,f_mǔ,f_qī,f_fù,f_zǐ,f_fēi,f_bì,f_sì,f_ǎo,f_yù,f_sǎo,f_jī,f_qiè,f_ní,f_pin,f_mèi,f_rǔmǔ,f_fūren,f_nǚzǐ,f_shìnǚ,f_shàonǚ,f_dìhòu,f_hòumǔ,f_yùnǚ,f_wánghòu,f_huánghòu,f_měirén,f_měinǚ,f_guiren,f_huángtàihòu,m_wáng,m_zǐ,m_gōng,m_hóu,m_jūn,m_chén,m_bīng,m_dì,m_shì,m_fù,m_sūn,m_bà,m_huáng,m_shū,m_bì,m_bīn,m_nán,m_kūn,m_ér,m_huàn,m_yǒu,m_xiá,m_wēng,m_tóng,m_niè,m_jiù,m_shēn,m_guān,m_qīng,m_lì,m_shī,m_xiōng,m_sǒu,m_xù,m_shēng,m_bīn,m_dì,m_gē,m_zhàngfu,m_shìzǐ,m_zhōngwèi,m_lièhóu,m_lìshì,m_yǒngshì,m_pǐfū,m_bóshì,m_shūfù,m_shǐguān,m_sīkòu,m_sītú,m_jūnzǐ,m_dàfū,m_dàwáng,m_dàlǐ,m_dàchén,m_tiānwáng,m_tiānhuáng,m_tiānzǐ,m_tàigōng,m_tàihòu,m_tàizǐ,m_tàishǒu,m_zǐsì,m_xiàozǐ,m_nièzǐ,m_dìwáng,m_cìzǐ,m_wǔshì,m_wángzǐ,m_nánzǐ,m_huángzǐ,m_huángdì,m_xiùcai,m_tóngzǐ,m_lǎofù,m_erzi,m_bófù,m_shìdàfū,m_dàzhàngfu,m_tàishǐgōng,m_huángtàizǐ,Count,Count,Count
慎,1,1,1,1,1,1,1,,,,,1,1,1,,,,1,1,,,,,,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,1,,,,1,1,1,,,,1,,1,,,1,15,77,280
遵,1,1,1,1,,1,1,,,,,,1,1,1,1,1,1,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,1,,1,,1,1,,,1,,,,1,1,1,1,1,1,,1,1,,1,1,1,,1,,1,,,1,,1,1,,,,1,,1,,1,,15,71,256
職,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,,1,,1,1,21,92,345
齋,1,1,1,1,,1,,,,,,1,1,1,1,,,1,,,,,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,,,1,,1,,1,1,,1,,,,1,,1,1,1,1,,1,1,,1,1,1,,,,1,1,1,,,,1,,,,,,1,,,1,14,65,161
戒,1,1,1,1,,1,,1,,,,,1,1,1,,,1,1,,,,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,,1,,1,,1,1,,1,1,,,,,,1,,1,1,14,74,275
徐,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,,1,,1,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,,1,1,,1,,,,,,1,,,1,22,85,333
市,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,,,,,,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,,1,1,,,,1,1,1,1,1,,1,1,1,1,1,1,,1,,,1,1,1,1,,1,,1,,,,1,,1,,18,81,299
數,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,28,105,508
千,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,1,1,26,99,485
海,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,1,1,1,1,,,,1,1,,1,1,21,91,400
僊,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,1,1,,,,1,1,1,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,4,29,58
博,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,,1,1,,1,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,20,92,368
士,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,26,105,502
對,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,,,,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,20,92,385
葬,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,,,,,,1,,,1,24,86,355
疇,1,1,1,1,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,,1,,,,,,1,,,,,,1,1,1,,1,,1,,,1,,,1,,1,1,,,,,1,,,,,,1,,,,,1,1,,,,9,51,140
各,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,1,1,1,1,24,97,413
隔,1,1,1,1,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,1,1,1,1,1,1,1,,,1,,,1,,,1,,,,,1,,,,,,1,,1,1,1,,1,,1,1,1,,,,,1,,,,,1,,,,,,1,,,1,8,51,143
禁,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,1,,1,1,22,89,348
止,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,21,94,372
泆,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,10,10
絜,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,1,1,,1,1,1,,,,1,1,1,,,,,1,1,1,1,1,,1,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,2,32,66
誠,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,1,,,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,,1,,,1,1,1,1,,,,,,1,,,1,21,85,355
遂,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,1,1,1,1,1,,1,1,28,102,471
屠,1,1,1,1,1,1,,,1,,,,1,,,,,1,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,1,1,1,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,,,1,,1,1,1,,,,,,,1,,,1,,,,,,,,,,12,54,199
咸,1,1,1,1,,1,1,,,,,1,1,1,1,1,,1,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,1,,1,1,1,,1,,1,1,1,1,,1,1,,1,,,1,1,1,,1,18,82,322
燒,1,1,1,1,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1,,,1,1,1,1,1,,,,,,,,,,,,1,,1,,1,,,1,1,,,1,,,1,,1,1,1,,,,,,,1,1,,1,,,,,,1,,,,8,49,165
宮,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,,,1,,1,1,30,103,480
室,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,27,99,419
虜,1,1,1,1,,1,1,1,,,1,1,1,1,,1,,1,1,1,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,,,,1,1,1,1,1,1,1,1,,,1,1,1,,1,,,,,,,,1,,1,1,,1,,,1,,1,1,1,,1,,1,,,1,,1,1,,,,1,1,1,,,1,19,68,252
收,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,1,1,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,,1,,1,1,1,1,,,,,1,1,,,1,18,81,337
珍,1,1,1,1,1,1,1,,,,,1,1,,,1,,1,1,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,,1,,,,,,1,1,1,,,,1,1,,,1,1,1,,1,,,,1,1,1,1,1,,,,,1,,,1,1,1,,1,,,,1,,,1,16,67,217
寶,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,25,98,365
貨,1,1,1,1,,,1,,,,,1,1,1,,1,,1,1,1,,,,,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,1,1,1,,1,,,,,,,,,,,1,,,1,1,1,1,,1,1,,,1,,1,1,1,,,,,,,1,,1,1,1,,,,,,,1,,15,62,214
財,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,1,1,1,1,1,1,,,,1,1,1,1,1,,1,1,,1,1,1,,1,,1,,,1,1,,1,1,,,1,,1,,1,,21,82,309
諸,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,28,108,564
關,1,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,,,1,1,,1,20,90,367
幸,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,22,95,407
項,1,1,1,1,,1,,,,,1,1,1,1,,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,,1,,,,,,,1,1,,,1,,,,,1,1,1,1,1,,,,1,1,1,1,,,,,1,,1,1,1,,1,,1,,,,1,,1,,10,60,198
羽,1,1,1,1,,1,1,,,1,,1,1,,,1,,1,1,,,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,1,,,1,1,,1,,1,,,,1,1,1,1,15,78,281
引,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,,1,,1,1,,1,1,1,1,,,1,1,,1,1,21,93,377
降,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,1,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,24,101,409
嬰,1,1,1,1,,1,,,,,,1,1,,1,,,1,,,,1,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,1,,,1,,,,1,,1,1,,1,1,1,,,,,1,1,,,1,,,1,,1,1,1,,,,1,,,1,1,,1,,1,1,1,1,1,,1,1,14,69,209
火,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,,,,1,,1,1,,,1,1,1,,,,,1,1,,,1,,,1,,1,1,1,,1,,1,,,1,1,,1,,,,,,1,,1,1,16,69,246
滅,1,1,1,1,1,1,1,1,,,,1,1,1,,1,,1,,,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,,,,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,,1,1,,,,1,,1,,1,,17,79,315
東,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,25,104,489
夷,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,,1,,,,1,1,1,1,23,91,351
齊,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,,1,,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,,1,1,24,98,424
城,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,24,101,454
郭,1,1,1,1,,1,1,1,,,,1,1,1,1,1,1,1,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,,,,1,,1,1,20,92,321
屋,1,1,1,1,1,,1,,,,,1,1,1,1,,,1,1,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,,1,1,,,1,,,1,,,,,,,,,,,1,,1,1,,,1,,1,1,,,1,,,,1,1,1,,1,,1,,,,1,,,,15,61,185
阬,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,1,1,1,,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,3,19,31
田,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,23,96,403
榮,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,,1,1,,,,,,1,,,1,19,81,299
卒,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,1,1,1,,1,1,23,97,454
系,1,1,1,1,1,1,1,,,,,,,1,,,1,1,,,,,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,,,,1,,1,1,,1,1,,,,,,1,,,1,15,71,215
老,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,,,1,1,,1,1,1,1,1,,1,1,1,1,23,95,402
弱,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1,1,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,,,1,1,1,1,,,,1,1,1,1,,1,1,1,1,,1,,,1,1,1,1,1,,,1,1,1,,,1,1,1,,1,,,1,1,,,1,18,78,290
漢,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,27,100,484
滎,1,1,,,1,,,,,,,1,,,,,,1,1,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,1,,1,1,1,1,,,,,,,,,,1,,,,,,,,,1,,1,1,1,,1,,1,,,1,1,,,,,,,,,1,1,,,,,,,,,,7,41,115
被,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,,1,1,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,1,,,1,1,,1,1,19,86,354
甲,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,,1,1,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,,,1,,,1,20,88,364
四,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,29,106,541
擊,1,1,1,1,,1,1,,,,,1,1,1,1,1,,1,1,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,1,1,1,,1,,,,,,1,,1,1,18,82,330
